"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"1530","INDHUM","EQ","INDIAN HUME PIPE CO. LTD.",0.01,1,"","",0,2,"INE323C01030",613.7,220.8,613.7,1.08,"","","",0,0,0,507.6,338.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INDIANHUME"
"15302","SUJIND","BE","SUJANA UNIVERSAL INDUSTRIES LT",0.01,1,"","",0,10,"INE216G01011",0.6,0.1,17.25,0.1,"","","",0,0,0,0.35,0.25,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SUJANAUNI"
"15303","BANOVE","EQ","BANG OVERSEAS LIMITED",0.01,1,"","",0,10,"INE863I01016",75.8,43.1,308.8,6,"","","",0,0,0,64.24,42.83,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BANG"
"15308","SHREPC","EQ","SEPC LIMITED",0.01,1,"","",0,10,"INE964H01014",33.45,15.25,358.47,1.85,"","","",0,0,0,29.36,19.57,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SEPC"
"15313","IRBINF","EQ","IRB INFRASTRUCTURE DEVELOPERS",0.01,1,"","",0,1,"INE821I01022",78.15,33.25,78.15,4.56,"","","",0,0,0,62.3,41.53,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IRB"
"15325","GUJGLA","EQ","PIRAMAL GLASS LIMITED",0.01,1,"","",0,10,"INE748E01018",0,0,155.6,21.41,"","","",0,0,0,166.35,110.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PIRGLASS"
"15330","QUAGOL","EQ","QUANTUM GOLD FUND -ETF",0.01,1,"","",0,100,"INF082J01408",66.49,50.62,66.5,9.82,"","","",0,0,0,78.72,52.48,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","QGOLDHALF"
"15332","NATMIN","EQ","NMDC LIMITED",0.01,1,"","",0,1,"INE584A01023",286.35,152.5,571.2,61.55,"","","",0,0,0,248.75,203.52,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NMDC"
"15337","RAIIND","EQ","RAIN INDUSTRIES LIMITED",0.01,1,"","",0,2,"INE855B01025",219.6,130.05,475,1.3,"","","",0,0,0,192.04,128.03,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RAIN"
"15342","SHAPAI","EQ","SHALIMAR PAINTS LTD",0.01,1,"","",0,2,"INE849C01026",224.15,100.99,230.47,1.75,"","","",0,0,0,117.44,96.09,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SHALPAINTS"
